,wait_delay
10800,7100
10820,7100
10840,7100
10860,7100
10880,7100
10900,7100
10920,7100
10940,7100
10960,7100
10980,7100
11000,7100
11020,7100
11040,7100
11060,7100
11080,7100
11100,7100
11120,7100
11140,7100
11160,7100
11180,7100
11200,7100
11220,7100
11240,7100
11260,7100
11280,7100
11300,7100
11320,7100
11340,7100
11360,7100
11380,7100
11400,7100
11420,7100
11440,7100
11460,7100
11480,7100
11500,7100
11520,7100
11540,7100
11560,7100
11580,7100
11600,7100
11620,7100
11640,7100
11660,7100
11680,7100
11700,7100
11720,7100
11740,7100
11760,7100
11780,7100
11800,7100
11820,7100
11840,7100
11860,7100
11880,7100
11900,7100
11920,7100
11940,7100
11960,7100
11980,7100
12000,7100
12020,7100
12040,7100
12060,7100
12080,7100
12100,7100
12120,7100
12140,7100
12160,7100
12180,7100
12200,7100
12220,7100
12240,7100
12260,7100
12280,7100
12300,7100
12320,7100
12340,7100
12360,7100
12380,7100
12400,7100
12420,7100
12440,7100
12460,7100
12480,7100
12500,7100
12520,7100
12540,7100
12560,7100
12580,7100
12600,7100
12620,7100
12640,7100
12660,7100
12680,7100
12700,7100
12720,7100
12740,7100
12760,7100
12780,7100
12800,7100
12820,7100
12840,7100
12860,7100
12880,7100
12900,7100
12920,7100
12940,7100
12960,7100
12980,7100
13000,7100
13020,7100
13040,7100
13060,7100
13080,7100
13100,7100
13120,7100
13140,7100
13160,7100
13180,7100
13200,7100
13220,7100
13240,7100
13260,7100
13280,7100
13300,7100
13320,7100
13340,7100
13360,7100
13380,7100
13400,7100
13420,7100
13440,7100
13460,7100
13480,7100
13500,7100
13520,7100
13540,7100
13560,7100
13580,7100
13600,7100
13620,7100
13640,7100
13660,7100
13680,7100
13700,7100
13720,7100
13740,7100
13760,7100
13780,7100
13800,7100
13820,7100
13840,7100
13860,7100
13880,7100
13900,7100
13920,7100
13940,7100
13960,7100
13980,7100
14000,7100
14020,7100
14040,7100
14060,7100
14080,7100
14100,7100
14120,7100
14140,7100
14160,7100
14180,7100
14200,7100
14220,7100
14240,7100
14260,7100
14280,7100
14300,7100
14320,7100
14340,7100
14360,7100
14380,7100
14400,7100
14420,7100
14440,7100
14460,7100
14480,7100
14500,7100
14520,7100
14540,7100
14560,7100
14580,7100
14600,7100
14620,7100
14640,7100
14660,7100
14680,7100
14700,7100
14720,7100
14740,7100
14760,7100
14780,7100
14800,7100
14820,7100
14840,7100
14860,7100
14880,7100
14900,7100
14920,7100
14940,7100
14960,7100
14980,7100
15000,7100
15020,7100
15040,7100
15060,7100
15080,7100
15100,7100
15120,7100
15140,7100
15160,7100
15180,7100
15200,7100
15220,7100
15240,7100
15260,7100
15280,7100
15300,7100
15320,7100
15340,7100
15360,7100
15380,7100
15400,7100
15420,7100
15440,7100
15460,7100
15480,7100
15500,7100
15520,7100
15540,7100
15560,7100
15580,7100
15600,7100
15620,7100
15640,7100
15660,7100
15680,7100
15700,7100
15720,7100
15740,7100
15760,7100
15780,7100
15800,7100
15820,7100
15840,7100
15860,7100
15880,7100
15900,7100
15920,7100
15940,7100
15960,7100
15980,7100
16000,7100
16020,7100
16040,7100
16060,7100
16080,7100
16100,7100
16120,7100
16140,7100
16160,7100
16180,7100
16200,7100
16220,7100
16240,7100
16260,7100
16280,7100
16300,7100
16320,7100
16340,7100
16360,7100
16380,7100
16400,7100
16420,7100
16440,7100
16460,7100
16480,7100
16500,7100
16520,7100
16540,7100
16560,7100
16580,7100
16600,7100
16620,7100
16640,7100
16660,7100
16680,7100
16700,7100
16720,7100
16740,7100
16760,7100
16780,7100
16800,7100
16820,7100
16840,7100
16860,7100
16880,7100
16900,7100
16920,7100
16940,7100
16960,7100
16980,7100
17000,7100
17020,7100
17040,7100
17060,7100
17080,7100
17100,7100
17120,7100
17140,7100
17160,7100
17180,7100
17200,7100
17220,7100
17240,7100
17260,7100
17280,7100
17300,7100
17320,7100
17340,7100
17360,7100
17380,7100
17400,7100
17420,7100
17440,7100
17460,7100
17480,7100
17500,7100
17520,7100
17540,7100
17560,7100
17580,7100
17600,7100
17620,7100
17640,7100
17660,7100
17680,7100
17700,7100
17720,7100
17740,7100
17760,7100
17780,7100
17800,7100
17820,7100
17840,7100
17860,7100
17880,7100
17900,7100
17920,7100
17940,7100
17960,7100
17980,7100
18000,7100
18020,7100
18040,7100
18060,7100
18080,7100
18100,7100
18120,7100
18140,7100
18160,7100
18180,7100
18200,7100
18220,7100
18240,7100
18260,7100
18280,7100
18300,7100
18320,7100
18340,7100
18360,7100
18380,7100
18400,7100
18420,7100
18440,7100
18460,7100
18480,7100
18500,7100
18520,7100
18540,7100
18560,7100
18580,7100
18600,7100
18620,7100
18640,7100
18660,7100
18680,7100
18700,7100
18720,7100
18740,7100
18760,7100
18780,7100
18800,7100
18820,7100
18840,7100
18860,7100
18880,7100
18900,7100
18920,7100
18940,7100
18960,7100
18980,7100
19000,7100
19020,7100
19040,7100
19060,7100
19080,7100
19100,7100
19120,7100
19140,7100
19160,7100
19180,7100
19200,7100
19220,7100
19240,7100
19260,7100
19280,7100
19300,7100
19320,7100
19340,7100
19360,7100
19380,7100
19400,7100
19420,7100
19440,7100
19460,7100
19480,7100
19500,7100
19520,7100
19540,7100
19560,7100
19580,7100
19600,7100
19620,7100
19640,7100
19660,7100
19680,7100
19700,7100
19720,7100
19740,7100
19760,7100
19780,7100
19800,7100
19820,7100
19840,7100
19860,7100
