d_t,app,func,end_timestamp,duration,st_tsp,date,counter,wait_delay
2021-02-04 12:20:29.397206036,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390030.131206036,0.734,390029.397206036,2021-02-04 12:20:29.397206036,24,29389
2021-02-04 12:20:29.948743940,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390030.14774394,0.199,390029.94874394,2021-02-04 12:20:29.948743940,25,552
2021-02-04 12:20:40.550716089,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390040.55171608896,0.001,390040.55071608897,2021-02-04 12:20:40.550716089,26,10602
2021-02-04 12:20:45.071293043,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390045.072293043,0.001,390045.07129304303,2021-02-04 12:20:45.071293043,27,4521
2021-02-04 12:20:53.929196938,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390054.671196938,0.742,390053.929196938,2021-02-04 12:20:53.929196938,28,8858
2021-02-04 12:21:04.612157988,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390064.988157988,0.376,390064.612157988,2021-02-04 12:21:04.612157988,29,10683
2021-02-04 12:21:11.268774902,c8c43e1a911f29e5506460a2fbef61ff39723d672f3b3b67d12d4c236c6872f7,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390073.881774902,2.613,390071.268774902,2021-02-04 12:21:11.268774902,30,6657
2021-02-04 12:21:23.506349968,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390083.507349968,0.001,390083.506349968,2021-02-04 12:21:23.506349968,31,12238
2021-02-04 12:21:39.107526945,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390099.108526945,0.001,390099.107526945,2021-02-04 12:21:39.107526945,32,15601
2021-02-04 12:21:50.404225039,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,390110.405225039,0.001,390110.404225039,2021-02-04 12:21:50.404225039,33,11297
