sno,Unnamed: 0,wait
0,0,7809
1,10,8048
2,20,3956
3,30,7469
4,40,7483
5,50,8187
6,60,8306
7,70,7551
8,80,7359
9,90,7552
10,100,7600
11,110,7247
12,120,6747
13,130,7633
14,140,7976
15,150,8229
16,160,8769
17,170,8254
18,180,8309
19,190,8062
20,200,2051
21,210,6488
22,220,7100
23,230,3407
24,240,5264
25,250,5868
26,260,7499
27,270,7386
28,280,7047
29,290,7065
30,300,7724
31,310,8378
32,320,8094
33,330,2178
34,340,6627
35,350,7124
36,360,7746
37,370,7833
38,380,5457
39,390,7278
40,400,7612
41,410,8083
42,420,8446
43,430,8221
44,440,2714
45,450,6283
46,460,4239
47,470,7113
48,480,7100
49,490,4635
50,500,6725
51,510,5198
52,520,6109
53,530,7272
54,540,8021
55,550,1719
56,560,7050
57,570,7368
58,580,8128
59,590,8506
60,600,7654
61,610,8091
62,620,8025
63,630,7530
64,640,7677
65,650,7583
66,660,7059
67,670,7903
68,680,8246
69,690,8216
70,700,7543
71,710,7143
72,720,6803
73,730,2559
74,740,3631
75,750,1914
76,760,3396
77,770,1961
78,780,2123
79,790,2148
80,800,2142
81,810,2849
82,820,1853
83,830,2129
84,840,2173
85,850,2809
86,860,2899
87,870,2157
88,880,2197
89,890,2191
90,900,2137
91,910,2884
92,920,2122
93,930,2149
94,940,2351
95,950,2099
96,960,2089
97,970,3269
98,980,2157
99,990,2163
100,1000,3206
101,1010,2325
102,1020,2141
103,1030,2232
104,1040,2275
105,1050,2072
106,1060,2101
107,1070,2412
108,1080,2223
109,1090,2266
110,1100,2162
111,1110,2162
112,1120,4845
113,1130,2713
114,1140,3027
115,1150,3642
116,1160,1970
117,1170,3440
118,1180,2444
119,1190,3069
120,1200,4227
121,1210,2806
122,1220,3177
123,1230,2857
124,1240,2159
125,1250,3228
126,1260,1989
127,1270,2152
128,1280,3415
129,1290,2416
130,1300,3100
131,1310,1698
132,1320,2284
133,1330,2211
134,1340,3782
135,1350,3188
136,1360,1758
137,1370,3245
138,1380,1910
139,1390,2727
140,1400,1879
141,1410,2140
142,1420,2121
143,1430,2189
144,1440,2142
145,1450,2161
146,1460,2269
147,1470,2195
148,1480,2380
149,1490,2931
150,1500,6090
151,1510,3017
152,1520,5815
153,1530,2418
154,1540,5315
155,1550,3728
156,1560,5398
157,1570,1491
158,1580,3265
159,1590,2245
160,1600,5803
161,1610,1505
162,1620,4994
163,1630,6884
164,1640,7539
165,1650,7411
166,1660,2782
167,1670,6866
168,1680,7361
169,1690,8096
170,1700,7795
171,1710,8009
172,1720,7551
173,1730,7390
174,1740,8098
175,1750,8026
176,1760,8051
177,1770,8075
178,1780,7548
179,1790,5609
180,1800,6887
181,1810,7110
182,1820,7906
183,1830,8025
184,1840,7103
185,1850,6880
186,1860,7636
187,1870,8120
188,1880,7270
189,1890,6609
190,1900,7362
191,1910,7963
192,1920,8066
193,1930,8693
194,1940,8272
195,1950,7752
196,1960,1481
197,1970,5470
198,1980,6722
199,1990,6802
200,2000,7866
201,2010,7587
202,2020,8200
203,2030,7376
204,2040,7127
205,2050,1672
206,2060,4314
207,2070,6231
208,2080,7678
209,2090,7434
210,2100,8302
211,2110,7742
212,2120,7703
213,2130,6085
214,2140,7344
