sno,Unnamed: 0,wait
0,0,7060
1,10,7060
2,20,7060
3,30,7060
4,40,7060
5,50,7060
6,60,7060
7,70,7060
8,80,7060
9,90,7060
10,100,7060
11,110,7060
12,120,7060
13,130,7060
14,140,7060
15,150,7060
16,160,7060
17,170,7060
18,180,7060
19,190,7060
20,200,7060
21,210,7060
22,220,7060
23,230,7060
24,240,7060
25,250,7060
26,260,7060
27,270,7060
28,280,7060
29,290,7060
30,300,7060
31,310,7060
32,320,7060
33,330,7060
34,340,7060
35,350,7060
36,360,7060
37,370,7060
38,380,7060
39,390,7060
40,400,7060
41,410,7060
42,420,7060
43,430,7060
44,440,7060
45,450,7060
46,460,7060
47,470,7060
48,480,7060
49,490,7060
50,500,7060
51,510,7060
52,520,7060
53,530,7060
54,540,7060
55,550,7060
56,560,7060
57,570,7060
58,580,7060
59,590,7060
60,600,7060
61,610,7060
62,620,7060
63,630,7060
64,640,7060
65,650,7060
66,660,7060
67,670,7060
68,680,7060
69,690,7060
70,700,7060
71,710,7060
72,720,7060
73,730,7060
74,740,7060
75,750,7060
76,760,7060
77,770,7060
78,780,7060
79,790,7060
80,800,7060
81,810,7060
82,820,7060
83,830,7060
84,840,7060
85,850,7060
86,860,7060
87,870,7060
88,880,7060
89,890,7060
90,900,7060
91,910,7060
92,920,7060
93,930,7060
94,940,7060
95,950,7060
96,960,7060
97,970,7060
98,980,7060
99,990,7060
100,1000,7060
101,1010,7060
102,1020,7060
103,1030,7060
104,1040,7060
105,1050,7060
106,1060,7060
107,1070,7060
108,1080,7060
109,1090,7060
110,1100,7060
111,1110,7060
112,1120,7060
113,1130,7060
114,1140,7060
115,1150,7060
116,1160,7060
117,1170,7060
118,1180,7060
119,1190,7060
120,1200,7060
121,1210,7060
122,1220,7060
123,1230,7060
124,1240,7060
125,1250,7060
126,1260,7060
127,1270,7060
128,1280,7060
129,1290,7060
130,1300,7060
131,1310,7060
132,1320,7060
133,1330,7060
134,1340,7060
135,1350,7060
136,1360,7060
137,1370,7060
138,1380,7060
139,1390,7060
140,1400,7060
141,1410,7060
142,1420,7060
143,1430,7060
144,1440,7060
145,1450,7060
146,1460,7060
147,1470,7060
148,1480,7060
149,1490,7060
150,1500,7060
151,1510,7060
152,1520,7060
153,1530,7060
154,1540,7060
155,1550,7060
156,1560,7060
157,1570,7060
158,1580,7060
159,1590,7060
160,1600,7060
161,1610,7060
162,1620,7060
163,1630,7060
164,1640,7060
165,1650,7060
166,1660,7060
167,1670,7060
168,1680,7060
169,1690,7060
170,1700,7060
171,1710,7060
172,1720,7060
173,1730,7060
174,1740,7060
175,1750,7060
176,1760,7060
177,1770,7060
178,1780,7060
179,1790,7060
180,1800,7060
181,1810,7060
182,1820,7060
183,1830,7060
184,1840,7060
185,1850,7060
186,1860,7060
187,1870,7060
188,1880,7060
189,1890,7060
190,1900,7060
191,1910,7060
192,1920,7060
193,1930,7060
194,1940,7060
195,1950,7060
196,1960,7060
197,1970,7060
198,1980,7060
199,1990,7060
200,2000,7060
201,2010,7060
202,2020,7060
203,2030,7060
204,2040,7060
205,2050,7060
206,2060,7060
207,2070,7060
208,2080,7060
209,2090,7060
210,2100,7060
211,2110,7060
212,2120,7060
213,2130,7060
214,2140,7060
215,2150,7060
216,2160,7060
217,2170,7060
218,2180,7060
219,2190,7060
220,2200,7060
221,2210,7060
222,2220,7060
223,2230,7060
224,2240,7060
225,2250,7060
226,2260,7060
227,2270,7060
228,2280,7060
229,2290,7060
230,2300,7060
231,2310,7060
232,2320,7060
233,2330,7060
234,2340,7060
235,2350,7060
236,2360,7060
237,2370,7060
238,2380,7060
239,2390,7060
240,2400,7060
241,2410,7060
242,2420,7060
243,2430,7060
244,2440,7060
245,2450,7060
246,2460,7060
247,2470,7060
248,2480,7060
249,2490,7060
250,2500,7060
251,2510,7060
252,2520,7060
253,2530,7060
254,2540,7060
255,2550,7060
256,2560,7060
257,2570,7060
258,2580,7060
259,2590,7060
260,2600,7060
261,2610,7060
262,2620,7060
263,2630,7060
264,2640,7060
265,2650,7060
266,2660,7060
267,2670,7060
268,2680,7060
269,2690,7060
270,2700,7060
271,2710,7060
272,2720,7060
273,2730,7060
274,2740,7060
275,2750,7060
276,2760,7060
277,2770,7060
278,2780,7060
279,2790,7060
280,2800,7060
281,2810,7060
282,2820,7060
283,2830,7060
284,2840,7060
285,2850,7060
286,2860,7060
287,2870,7060
288,2880,7060
289,2890,7060
290,2900,7060
291,2910,7060
292,2920,7060
293,2930,7060
294,2940,7060
295,2950,7060
296,2960,7060
297,2970,7060
298,2980,7060
299,2990,7060
300,3000,7060
301,3010,7060
302,3020,7060
303,3030,7060
304,3040,7060
305,3050,7060
306,3060,7060
307,3070,7060
308,3080,7060
309,3090,7060
310,3100,7060
311,3110,7060
312,3120,7060
