d_t,app,func,end_timestamp,duration,st_tsp,date,counter,wait_delay
2021-02-01 10:00:00.015638930,8edcb2c8634528c66b062785169a74c209201e03e0d53c932775acabec4bf702,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,122403.382638931,3.367,122400.015638931,2021-02-01 10:00:00.015638930,1,0
2021-02-01 10:00:01.192853960,17c37a0fdd5d1932b755c0e6447137bc08fd524f455e14fdac414f584de08dc5,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,122401.20885396,0.016,122401.19285395999,2021-02-01 10:00:01.192853960,2,1177
2021-02-01 10:00:43.588562901,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,122853.556562901,409.968,122443.588562901,2021-02-01 10:00:43.588562901,3,42396
2021-02-01 10:03:00.011812984,1de6db5cc9a0296ef5998382d86fe68565054c0a5ede8f3481af245a8d826a04,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,122585.349812984,5.338,122580.011812984,2021-02-01 10:03:00.011812984,4,136423
2021-02-01 10:06:00.024041006,f7bfe5bc8d2a37a5c15986fbfc2c477a746e866adcb9663f9df7535b61c3eb9b,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,122760.102041006,0.078,122760.024041006,2021-02-01 10:06:00.024041006,5,180012
2021-02-01 10:10:15.748686115,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,123015.856686115,0.108,123015.74868611501,2021-02-01 10:10:15.748686115,6,255725
2021-02-01 10:15:00.204081894,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,123320.153081894,19.949,123300.204081894,2021-02-01 10:15:00.204081894,7,284455
2021-02-01 10:19:53.320795055,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,123593.399795055,0.079,123593.320795055,2021-02-01 10:19:53.320795055,8,293117
2021-02-01 10:21:00.025473957,1de6db5cc9a0296ef5998382d86fe68565054c0a5ede8f3481af245a8d826a04,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,123671.020473957,10.995,123660.02547395701,2021-02-01 10:21:00.025473957,9,66705
2021-02-01 10:24:00.021524975,f7bfe5bc8d2a37a5c15986fbfc2c477a746e866adcb9663f9df7535b61c3eb9b,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,123840.099524975,0.078,123840.021524975,2021-02-01 10:24:00.021524975,10,179996
2021-02-01 10:26:01.342796043,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,123961.438796043,0.096,123961.342796043,2021-02-01 10:26:01.342796043,11,121321
2021-02-01 10:29:58.632100994,db6be4a997f386b37c6246aaeecf81ab81562db84cf4c0d44907d9df2d0ab9fc,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124198.725100994,0.093,124198.632100994,2021-02-01 10:29:58.632100994,12,237289
2021-02-01 10:30:13.149548063,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124213.264548063,0.115,124213.149548063,2021-02-01 10:30:13.149548063,13,14517
2021-02-01 10:30:18.431426947,734272c01926d19690e5ec308bab64ef97950b75b1c7582283e0783fce1751d8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124218.764426947,0.333,124218.431426947,2021-02-01 10:30:18.431426947,14,5282
2021-02-01 10:31:27.755603956,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124287.756603956,0.001,124287.755603956,2021-02-01 10:31:27.755603956,15,69324
2021-02-01 10:31:36.383475946,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124296.384475946,0.001,124296.383475946,2021-02-01 10:31:36.383475946,16,8628
2021-02-01 10:33:03.936879967,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124383.938879967,0.002,124383.936879967,2021-02-01 10:33:03.936879967,17,87553
2021-02-01 10:34:35.092466990,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124475.50146699,0.409,124475.09246699,2021-02-01 10:34:35.092466990,18,91156
2021-02-01 10:34:41.145058010,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124481.14705801,0.002,124481.14505801,2021-02-01 10:34:41.145058010,19,6053
2021-02-01 10:34:57.363794016,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124497.364794016,0.001,124497.363794016,2021-02-01 10:34:57.363794016,20,16219
2021-02-01 10:35:00.153005051,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124500.154005051,0.001,124500.15300505099,2021-02-01 10:35:00.153005051,21,2789
2021-02-01 10:35:27.050487923,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124527.051487923,0.001,124527.050487923,2021-02-01 10:35:27.050487923,22,26897
2021-02-01 10:35:36.960462975,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124536.961462975,0.001,124536.960462975,2021-02-01 10:35:36.960462975,23,9910
2021-02-01 10:36:27.206657980,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124587.20865798,0.002,124587.20665798,2021-02-01 10:36:27.206657980,24,50246
2021-02-01 10:36:46.406100916,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124606.407100916,0.001,124606.40610091599,2021-02-01 10:36:46.406100916,25,19199
2021-02-01 10:36:55.829389116,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124615.832389116,0.003,124615.829389116,2021-02-01 10:36:55.829389116,26,9423
2021-02-01 10:37:16.040664984,5fb02cfeb979fec16df02d1ece227157238477b19fc6e37554e2e2af6018d3ba,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124636.164664984,0.124,124636.040664984,2021-02-01 10:37:16.040664984,27,20211
2021-02-01 10:37:38.243043039,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,124658.245043039,0.002,124658.24304303901,2021-02-01 10:37:38.243043039,28,22202
